Status,Country Code,English Name,Continent of the territory,Region of the territory
Member State,UGA,Uganda,Africa,Eastern Africa
Member State,UZB,Uzbekistan,Asia,Central Asia
Member State,IRL,Ireland,Europe,Northern Europe
Member State,ERI,Eritrea,Africa,Eastern Africa
UK Territory,GBR,South Georgia & the South Sandwich Islands,Antarctica,
Member State,MNG,Mongolia,Asia,Eastern Asia
Member State,ESP,Spain,Europe,Southern Europe
Member State,CYP,Cyprus,Asia,Western Asia
CN Special Administrative Region,CHN,Macao,Asia,Eastern Asia
Sovereignty unsettled,XXZ,Jammu-Kashmir,Asia,Eastern Asia
AU Territory,AUS,Heard Island and McDonald Islands,Antarctica,
FR Territory,FRA,French Guiana,Americas,South America
Member State,COD,Democratic Republic of the Congo,Africa,Middle Africa
Member State,GNB,Guinea-Bissau,Africa,Western Africa
Member State,PNG,Papua New Guinea,Oceania,Melanesia
FR Territory,FRA,Mayotte,Africa,Eastern Africa
Member State,CMR,Cameroon,Africa,Middle Africa
CN Special Administrative Region,CHN,Hong Kong,Asia,Eastern Asia
Member State,YEM,Yemen,Asia,Western Asia
Non-Self-Governing Territory,ESH,Western Sahara,Africa,Northern Africa
NZ Non-Self-Governing Territory,TKL,Tokelau,Oceania,Polynesia
Member State,USA,United States of America,Americas,Northern America
Member State,GRD,Grenada,Americas,Caribbean
UK Non-Self-Governing Territory,GBR,Cayman Islands,Americas,Caribbean
Member State,DOM,Dominican Republic,Americas,Caribbean
Adm. by EGY,EGY,Ma'tan al-Sarra,Africa,Northern Africa
Member State,CHE,Switzerland,Europe,Western Europe
UK Territory,GBR,Jersey,Europe,Northern Europe
Member State,AUT,Austria,Europe,Western Europe
Member State,PRT,Portugal,Europe,Southern Europe
Member State,LUX,Luxembourg,Europe,Western Europe
Member State,KAZ,Kazakhstan,Asia,Central Asia
NL Territory,ABW,Aruba,Americas,Caribbean
Permanent Observer to the UN,VAT,Holy See,Europe,Southern Europe
Member State,GNQ,Equatorial Guinea,Africa,Middle Africa
Member State,JAM,Jamaica,Americas,Caribbean
Member State,EST,Estonia,Europe,Northern Europe
Member State,NER,Niger,Africa,Western Africa
Member State,BLZ,Belize,Americas,Central America
Member State,MAR,Morocco,Africa,Northern Africa
FR Territory,FRA,Glorioso Islands,Africa,Eastern Africa
Sovereignty unsettled,XXX,Paracel Islands,Asia,South-Eastern Asia
UK Territory,GBR,Guernsey,Europe,Northern Europe
Member State,PLW,Palau,Oceania,Micronesia
Member State,CAN,Canada,Americas,Northern America
Member State,ETH,Ethiopia,Africa,Eastern Africa
DK Territory,DNK,Greenland,Americas,Northern America
Member State,COM,Comoros,Africa,Eastern Africa
Member State,GTM,Guatemala,Americas,Central America
Member State,KGZ,Kyrgyzstan,Asia,Central Asia
Member State,SUR,Suriname,Americas,South America
Member State,POL,Poland,Europe,Eastern Europe
Member State,KWT,Kuwait,Asia,Western Asia
Member State,BRN,Brunei Darussalam,Asia,South-Eastern Asia
Member State,CPV,Cape Verde,Africa,Western Africa
Member State,ITA,Italy,Europe,Southern Europe
Member State,IRN,Iran (Islamic Republic of),Asia,Southern Asia
Member State,ARE,United Arab Emirates,Asia,Western Asia
UK Non-Self-Governing Territory,GBR,British Virgin Islands,Americas,Caribbean
Member State,SMR,San Marino,Europe,Southern Europe
Member State,ZMB,Zambia,Africa,Eastern Africa
Member State,LVA,Latvia,Europe,Northern Europe
Member State,MHL,Marshall Islands,Oceania,Micronesia
Member State,SYR,Syria,Asia,Western Asia
Member State,LKA,Sri Lanka,Asia,Southern Asia
Member State,AND,Andorra,Europe,Southern Europe
Member State,AUS,Australia,Oceania,Australia and New Zealand
NO Territory,NOR,Bouvet Island,Antarctica,
Member State,MKD,North Macedonia,Europe,Southern Europe
Member State,PER,Peru,Americas,South America
Member State,BEN,Benin,Africa,Western Africa
Member State,PRY,Paraguay,Americas,South America
Member State,HUN,Hungary,Europe,Eastern Europe
Member State,DJI,Djibouti,Africa,Eastern Africa
Member State,VUT,Vanuatu,Oceania,Melanesia
Member State,KHM,Cambodia,Asia,South-Eastern Asia
Member State,GEO,Georgia,Asia,Western Asia
AU Territory,AUS,Christmas Island,Asia,South-Eastern Asia
US Non-Self-Governing Territory,USA,United States Virgin Islands,Americas,Caribbean
DK Territory,DNK,Faroe Islands,Europe,Northern Europe
Member State,LSO,Lesotho,Africa,Southern Africa
Member State,TJK,Tajikistan,Asia,Central Asia
Member State,BDI,Burundi,Africa,Eastern Africa
Member State,PHL,Philippines,Asia,South-Eastern Asia
Member State,MDG,Madagascar,Africa,Eastern Africa
Member State,AZE,Azerbaijan,Asia,Western Asia
Member State,MRT,Mauritania,Africa,Western Africa
Member State,NGA,Nigeria,Africa,Western Africa
AU Territory,AUS,Norfolk Island,Oceania,Australia and New Zealand
Sovereignty unsettled JammuK-China,XXY,Aksai Chin,Asia,Eastern Asia
Member State,MCO,Monaco,Europe,Western Europe
Member State,GMB,Gambia,Africa,Western Africa
Member State,TLS,Timor-Leste,Asia,South-Eastern Asia
